,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
456167,2018-04-10 10:00:00,34.82,54.45,,51.45,,,1.13,,,,,,
456168,2018-04-10 11:00:00,31.82,57.8,,33.83,,,1.02,10.99,,,,,
456169,2018-04-10 12:00:00,29.61,51.04,,16.6,,,0.94,8.16,,,,,
456170,2018-04-10 13:00:00,33.37,51.61,,18.79,,,0.91,6.62,,,,,
456171,2018-04-10 14:00:00,36.71,58.0,,23.19,,,0.91,6.8,,,,,
456172,2018-04-10 15:00:00,35.88,56.18,,20.0,,7.45,0.86,9.94,,,,,
456173,2018-04-10 16:00:00,37.16,53.08,,32.31,,7.46,0.97,19.37,,,,,
456174,2018-04-10 17:00:00,37.37,53.86,,49.59,,0.5,0.89,22.12,,,,,
456175,2018-04-10 18:00:00,35.42,53.62,,73.12,,0.04,0.79,70.17,,,,,
456176,2018-04-10 19:00:00,36.37,57.87,,69.59,,0.74,0.99,88.5,,,,,
456177,2018-04-10 20:00:00,37.21,65.49,,49.48,,0.77,1.13,53.98,,,,,
456178,2018-04-10 21:00:00,33.65,60.85,,44.02,,4.56,1.07,11.93,,,,,
456179,2018-04-10 22:00:00,29.83,58.86,,46.81,,0.36,1.19,8.4,,,,,
456180,2018-04-10 23:00:00,32.09,65.36,,44.74,,0.83,1.18,13.97,,,,,
456181,2018-04-11 00:00:00,36.15,63.77,,39.71,,2.06,1.06,7.52,,,,,
456182,2018-04-11 01:00:00,26.67,63.68,,,,,1.11,7.97,,,,,60.0
456183,2018-04-11 02:00:00,25.24,63.58,,,,0.8,1.08,10.78,,,,,60.0
456184,2018-04-11 03:00:00,23.06,61.27,,,,0.58,1.09,10.87,,,,,60.0
456185,2018-04-11 04:00:00,22.75,59.56,,,,1.24,1.09,7.03,,,,,60.0
456186,2018-04-11 05:00:00,27.5,54.61,,,,2.66,0.83,4.35,,,,,60.0
456187,2018-04-11 06:00:00,28.86,50.49,,38.49,,1.46,0.92,4.08,,,,,59.0
456188,2018-04-11 07:00:00,25.74,54.02,,32.43,,2.0,0.97,3.96,,,,,58.0
456189,2018-04-11 08:00:00,28.43,52.66,,23.66,,3.3,0.93,5.96,,,,,57.0
456190,2018-04-11 09:00:00,25.81,48.77,,20.33,,4.65,0.86,7.59,,,,,57.0
456191,2018-04-11 10:00:00,23.53,48.24,,17.46,,8.17,0.8,5.98,,,,,57.0
456192,2018-04-11 11:00:00,26.68,46.23,,20.75,,7.44,0.81,5.48,,,,,56.0
456193,2018-04-11 12:00:00,23.76,42.14,,14.18,,8.2,0.81,4.96,,,,,56.0
456194,2018-04-11 13:00:00,,,,,,9.55,0.63,3.9,,,,,56.0
456195,2018-04-11 14:00:00,,,,,,,0.49,64.32,,,,,56.0
456196,2018-04-11 15:00:00,47.01,39.77,,30.14,,3.9,2.16,,,,,,102.0
456197,2018-04-11 16:00:00,49.88,42.14,2.63,33.66,31.12,6.0,1.16,,51.26,3.78,0.24,,102.0
456198,2018-04-11 17:00:00,44.43,45.63,2.98,29.07,32.05,4.52,0.98,,40.53,4.36,0.47,,102.0
456199,2018-04-11 18:00:00,32.7,46.4,3.48,40.31,43.8,3.33,0.93,,24.46,4.89,0.74,,102.0
456200,2018-04-11 19:00:00,26.9,44.49,4.23,40.13,44.36,2.01,1.02,,16.86,4.97,0.9,,102.0
456201,2018-04-11 20:00:00,25.47,49.15,3.51,34.8,38.31,1.79,1.07,,13.21,4.8,0.97,,102.0
456202,2018-04-11 21:00:00,24.71,53.92,4.27,34.84,39.11,2.69,0.96,,28.21,4.84,1.09,,102.0
456203,2018-04-11 22:00:00,22.88,46.75,2.23,44.15,46.38,2.23,0.83,,47.96,4.7,1.15,,102.0
456204,2018-04-11 23:00:00,19.73,41.8,2.79,84.39,87.19,0.48,0.92,,25.44,4.81,1.51,,58.0
456205,2018-04-12 00:00:00,20.74,39.6,2.29,70.11,72.4,0.92,0.89,,27.98,5.27,2.1,,54.0
456206,2018-04-12 01:00:00,18.25,40.76,1.99,30.56,32.56,3.69,0.67,,52.29,5.65,2.24,,54.0
456207,2018-04-12 02:00:00,12.78,47.35,1.79,29.14,30.94,4.05,0.6,,50.17,5.84,2.55,,54.0
456208,2018-04-12 03:00:00,9.52,45.43,2.37,33.69,36.07,3.38,0.65,,39.64,6.48,2.75,,54.0
456209,2018-04-12 04:00:00,10.28,41.31,1.88,26.47,28.35,4.13,0.66,,50.38,7.48,3.06,,52.0
456210,2018-04-12 05:00:00,15.81,40.77,2.47,29.42,31.89,4.33,0.69,,37.91,7.37,3.07,,52.0
456211,2018-04-12 06:00:00,17.53,38.63,2.63,40.46,43.08,2.29,0.8,,27.53,6.85,2.92,,52.0
456212,2018-04-12 07:00:00,16.39,43.88,3.34,39.59,42.93,2.24,0.82,,31.24,6.72,3.09,,53.0
456213,2018-04-12 08:00:00,23.24,47.98,5.3,42.89,48.19,2.62,0.92,,31.33,6.62,3.2,,54.0
456214,2018-04-12 09:00:00,25.41,44.75,4.72,34.65,39.37,2.85,0.85,,46.16,6.62,3.04,,53.0
456215,2018-04-12 10:00:00,23.47,42.11,3.53,26.28,29.81,5.38,0.86,,47.32,6.24,2.98,,52.0
456216,2018-04-12 11:00:00,23.18,45.55,3.4,19.96,23.36,5.27,0.9,,50.44,6.0,2.95,,51.0
456217,2018-04-12 12:00:00,24.88,47.57,2.94,17.2,20.14,5.55,0.94,,61.61,5.42,2.72,,62.0
456218,2018-04-12 13:00:00,33.86,47.5,2.77,23.04,25.81,7.04,0.92,,69.98,4.55,1.27,,70.0
456219,2018-04-12 14:00:00,35.68,53.24,2.95,21.53,24.38,5.71,0.93,,64.19,3.54,0.05,,70.0
456220,2018-04-12 15:00:00,33.32,54.18,2.79,25.62,28.4,7.02,0.96,,67.2,3.62,0.07,,70.0
456221,2018-04-12 16:00:00,24.29,38.18,0.42,49.04,38.93,2.84,0.2,,47.75,0.0,0.0,,70.0
456222,2018-04-12 17:00:00,25.24,40.2,3.14,39.95,43.09,4.01,0.51,,34.9,2.97,0.03,,70.0
456223,2018-04-12 18:00:00,28.91,44.81,2.71,44.7,47.41,4.51,0.42,,28.96,5.2,0.09,,70.0
456224,2018-04-12 19:00:00,25.77,44.65,2.48,29.12,31.6,5.26,0.23,,54.11,5.13,0.31,,70.0
456225,2018-04-12 20:00:00,19.1,42.14,2.45,65.64,68.08,1.13,0.33,,37.14,4.77,0.65,,70.0
456226,2018-04-12 21:00:00,19.52,35.53,3.26,75.21,78.47,0.79,0.94,,30.42,5.0,1.01,,67.0
456227,2018-04-12 22:00:00,19.51,32.87,2.55,44.22,46.77,1.65,0.84,,36.87,5.27,0.99,,67.0
456228,2018-04-12 23:00:00,14.06,33.87,19.56,89.31,108.87,,1.02,,23.8,5.38,1.21,,54.0
456229,2018-04-13 00:00:00,20.75,44.91,17.94,105.64,123.58,,1.23,,2.13,5.76,1.45,,62.0
456230,2018-04-13 01:00:00,26.9,61.05,2.06,42.2,44.26,2.15,1.0,,27.2,7.81,1.88,,62.0
456231,2018-04-13 02:00:00,21.8,64.75,2.55,22.06,24.61,5.84,0.92,,38.01,8.83,2.31,,62.0
456232,2018-04-13 03:00:00,19.39,58.6,2.22,19.52,21.74,5.28,0.88,,39.62,9.12,2.43,,62.0
456233,2018-04-13 04:00:00,19.39,50.83,1.7,23.66,25.36,4.83,0.88,,33.49,8.87,2.71,,62.0
456234,2018-04-13 05:00:00,22.52,42.31,2.28,28.69,30.96,4.03,0.88,,27.96,8.29,2.78,,62.0
456235,2018-04-13 06:00:00,19.55,37.93,3.46,36.64,40.1,2.08,0.92,,19.17,7.9,2.87,,62.0
456236,2018-04-13 07:00:00,14.96,38.56,5.71,48.43,54.14,0.78,1.0,,21.13,7.65,3.08,,62.0
456237,2018-04-13 08:00:00,16.05,37.24,5.49,46.88,52.36,0.94,0.97,,34.8,7.71,3.1,,56.0
456238,2018-04-13 09:00:00,19.78,38.48,3.89,32.16,36.06,2.62,0.85,,45.03,7.62,3.12,,56.0
456239,2018-04-13 10:00:00,22.36,39.61,3.19,20.81,24.0,5.14,0.89,,45.26,7.37,3.07,,55.0
456240,2018-04-13 11:00:00,25.27,37.85,3.28,19.04,22.32,4.26,0.9,,51.22,6.78,2.77,,55.0
456241,2018-04-13 12:00:00,23.39,39.2,2.61,16.99,19.59,5.48,0.8,,62.82,5.38,1.62,,63.0
456242,2018-04-13 13:00:00,18.1,41.2,2.74,21.13,23.87,6.41,0.78,,75.24,4.95,1.63,,75.0
456243,2018-04-13 14:00:00,16.7,47.24,2.48,20.55,23.03,6.36,0.75,,93.76,5.46,1.72,,94.0
456244,2018-04-13 15:00:00,25.35,49.86,1.88,22.98,24.85,8.0,0.72,,92.85,5.58,1.78,,94.0
456245,2018-04-13 16:00:00,33.56,52.94,2.14,24.14,26.29,7.57,0.76,,86.06,5.16,1.39,,94.0
456246,2018-04-13 17:00:00,28.99,56.18,2.63,36.53,39.15,3.94,1.06,,75.39,5.77,2.02,,94.0
456247,2018-04-13 18:00:00,30.48,52.05,1.69,48.52,50.19,3.02,1.15,,,6.24,2.15,,94.0
456248,2018-04-13 19:00:00,31.56,48.7,3.48,44.55,48.02,0.98,1.22,,17.25,6.62,2.16,,94.0
456249,2018-04-13 20:00:00,29.39,49.72,4.45,33.48,37.93,1.75,1.26,,18.81,6.5,2.05,,94.0
456250,2018-04-13 21:00:00,28.33,48.84,3.9,30.43,34.33,2.35,1.22,,18.93,6.26,1.97,,94.0
456251,2018-04-13 22:00:00,21.26,43.22,3.4,24.82,28.22,2.37,1.26,,17.27,5.75,1.83,,93.0
456252,2018-04-13 23:00:00,18.28,34.54,3.39,22.89,26.28,3.09,1.25,,14.55,5.26,1.56,,86.0
456253,2018-04-14 00:00:00,20.37,30.85,3.24,21.62,24.86,2.82,1.24,,12.94,5.01,1.83,,75.0
456254,2018-04-14 01:00:00,18.67,33.38,3.25,18.8,22.05,3.18,1.02,,11.9,4.86,1.93,,63.0
456255,2018-04-14 02:00:00,13.07,34.66,3.07,19.64,22.71,3.4,1.0,,11.13,4.94,2.18,,63.0
456256,2018-04-14 03:00:00,9.39,33.21,2.63,23.73,26.36,2.39,1.03,,13.9,5.05,2.36,,63.0
456257,2018-04-14 04:00:00,7.78,31.62,1.85,18.38,20.24,3.69,1.0,,19.75,4.77,2.45,,63.0
456258,2018-04-14 05:00:00,9.26,31.26,2.44,19.04,21.48,3.48,0.99,,19.39,4.42,2.35,,63.0
456259,2018-04-14 06:00:00,13.24,28.74,2.6,27.02,29.62,1.96,1.06,,13.3,4.27,2.34,,62.0
456260,2018-04-14 07:00:00,15.59,25.12,4.9,26.25,31.15,2.12,1.08,,13.44,4.2,2.46,,62.0
456261,2018-04-14 08:00:00,15.22,28.05,4.96,18.41,23.38,3.04,1.1,,19.41,4.12,2.38,,55.0
456262,2018-04-14 09:00:00,12.72,28.52,3.52,15.87,19.39,4.55,1.08,,29.97,4.04,2.27,,55.0
456263,2018-04-14 10:00:00,15.68,25.55,3.19,17.26,20.45,5.67,1.08,,41.21,4.1,2.22,,55.0
456264,2018-04-14 11:00:00,18.96,31.02,3.0,20.38,23.37,5.8,1.03,,61.28,4.31,2.18,,61.0
456265,2018-04-14 12:00:00,18.92,36.33,2.09,19.13,21.22,9.0,0.99,,80.49,4.47,2.36,,80.0
456266,2018-04-14 13:00:00,21.56,42.82,2.14,26.66,28.8,8.49,1.02,,89.89,5.07,2.56,,90.0
456267,2018-04-14 14:00:00,20.14,52.72,2.69,30.23,32.92,6.54,0.94,,94.09,5.71,2.74,,94.0
456268,2018-04-14 15:00:00,29.98,57.08,2.18,35.22,37.4,7.68,0.85,,107.09,6.14,3.16,,110.0
456269,2018-04-14 16:00:00,40.6,63.21,2.64,39.08,41.71,5.67,0.91,,98.01,6.21,2.95,,110.0
456270,2018-04-14 17:00:00,40.38,71.64,2.46,36.65,39.12,5.2,1.07,,85.72,6.2,3.04,,110.0
456271,2018-04-14 18:00:00,43.08,75.08,2.1,29.11,31.21,5.89,1.25,,35.66,6.83,2.88,,110.0
456272,2018-04-14 19:00:00,41.6,71.84,2.63,22.33,24.97,3.82,1.3,,,7.03,2.38,,110.0
456273,2018-04-14 20:00:00,33.89,56.5,3.0,28.28,31.28,2.45,1.27,,18.94,6.06,1.7,,110.0
456274,2018-04-14 21:00:00,25.68,43.81,2.97,37.16,40.13,1.6,0.8,,33.06,5.17,1.53,,110.0
456275,2018-04-14 22:00:00,17.97,39.98,2.08,45.01,47.08,1.1,0.42,,50.42,4.6,1.59,,110.0
456276,2018-04-14 23:00:00,13.62,37.46,1.92,43.57,45.49,1.82,0.37,,52.61,4.55,2.07,,98.0
456277,2018-04-15 00:00:00,13.4,33.94,2.11,39.26,41.37,1.49,0.52,,49.54,4.17,1.92,,86.0
456278,2018-04-15 01:00:00,12.68,34.72,2.28,61.4,63.68,0.16,0.75,,35.44,4.18,2.18,,65.0
456279,2018-04-15 02:00:00,13.95,39.29,2.74,81.33,84.07,,0.86,,20.45,4.41,2.5,,65.0
456280,2018-04-15 03:00:00,17.69,41.78,2.18,51.6,53.78,1.04,0.89,,29.52,4.92,2.52,,64.0
456281,2018-04-15 04:00:00,17.72,38.07,1.99,37.38,39.37,2.69,0.85,,32.53,6.89,2.72,,53.0
456282,2018-04-15 05:00:00,20.92,41.58,2.61,65.2,67.81,0.25,0.81,,13.34,8.26,2.62,,53.0
456283,2018-04-15 06:00:00,24.39,49.49,4.37,59.14,63.5,0.32,0.83,,16.76,9.69,2.79,,53.0
456284,2018-04-15 07:00:00,26.89,49.11,3.9,50.1,54.0,1.0,0.81,,28.74,9.85,2.88,,51.0
456285,2018-04-15 08:00:00,27.62,49.23,3.99,34.08,38.07,2.52,0.79,,40.76,9.06,2.73,,52.0
456286,2018-04-15 09:00:00,24.65,42.9,2.79,24.65,27.44,4.4,0.68,,54.41,8.0,2.63,,54.0
456287,2018-04-15 10:00:00,22.53,41.3,3.1,25.8,28.9,4.28,0.63,,68.05,7.1,2.8,,68.0
456288,2018-04-15 11:00:00,23.46,45.81,2.52,23.16,25.69,4.12,0.66,,88.85,6.46,2.64,,89.0
456289,2018-04-15 12:00:00,30.78,50.07,2.22,30.41,32.62,3.39,0.59,,101.52,6.39,2.91,,102.0
456290,2018-04-15 13:00:00,34.36,54.92,2.44,43.66,46.1,1.95,0.7,,110.14,6.9,2.96,,115.0
456291,2018-04-15 14:00:00,33.51,61.92,1.57,39.61,41.18,2.8,0.67,,116.46,7.58,3.47,,124.0
456292,2018-04-15 15:00:00,39.05,66.73,2.28,50.19,52.47,3.82,0.58,,106.73,8.06,0.66,,124.0
456293,2018-04-15 16:00:00,39.71,70.12,2.07,39.9,41.97,4.26,0.62,,116.4,8.22,2.14,,124.0
456294,2018-04-15 17:00:00,42.57,73.19,2.32,49.92,52.24,3.59,0.64,,122.44,8.29,1.05,,133.0
456295,2018-04-15 18:00:00,52.56,74.21,1.99,62.99,64.98,1.95,0.93,,115.62,8.01,3.26,,133.0
456296,2018-04-15 19:00:00,49.44,80.34,2.38,48.53,50.91,1.88,1.13,,79.2,7.92,3.31,,133.0
456297,2018-04-15 20:00:00,46.56,81.38,2.24,31.61,33.86,7.03,1.05,,62.93,7.49,3.35,,133.0
456298,2018-04-15 21:00:00,41.85,71.99,1.87,38.62,40.49,3.69,1.16,,47.6,6.82,3.05,,133.0
456299,2018-04-15 22:00:00,35.87,65.81,1.59,22.25,23.83,4.9,1.14,,40.49,6.33,2.81,,133.0
456300,2018-04-15 23:00:00,34.52,59.47,2.22,21.87,24.1,4.41,1.14,,35.26,5.81,2.55,,133.0
456301,2018-04-16 00:00:00,31.08,52.48,2.27,19.2,21.48,3.86,1.18,,29.45,5.45,2.37,,133.0
456302,2018-04-16 01:00:00,27.12,53.89,2.29,23.75,26.05,3.11,1.18,,21.29,5.18,2.52,,123.0
456303,2018-04-16 02:00:00,23.83,54.12,2.21,23.32,25.53,2.79,1.17,,20.85,5.12,2.41,,79.0
456304,2018-04-16 03:00:00,20.76,50.05,1.99,16.19,18.18,3.51,1.18,,24.75,4.83,2.26,,63.0
456305,2018-04-16 04:00:00,21.42,46.52,2.27,16.12,18.39,3.93,1.15,,25.57,4.68,2.48,,59.0
456306,2018-04-16 05:00:00,20.7,37.43,2.23,27.07,29.29,2.11,1.12,,20.83,4.6,2.31,,59.0
456307,2018-04-16 06:00:00,18.99,32.84,2.14,28.38,30.5,2.28,1.21,,20.2,4.71,2.48,,60.0
456308,2018-04-16 07:00:00,24.38,30.32,3.1,27.42,30.53,3.16,1.22,,27.0,4.95,2.5,,61.0
456309,2018-04-16 08:00:00,23.87,32.31,2.77,23.69,26.46,3.19,1.26,,36.31,4.98,2.39,,63.0
456310,2018-04-16 09:00:00,18.08,35.86,3.7,28.03,31.73,4.04,1.11,,43.12,4.96,2.53,,63.0
456311,2018-04-16 10:00:00,19.56,37.19,3.18,26.39,29.57,5.22,1.09,,62.22,5.19,2.6,,63.0
456312,2018-04-16 11:00:00,22.45,40.62,2.49,21.88,24.36,6.17,1.09,,69.72,5.41,2.45,,70.0
456313,2018-04-16 12:00:00,27.73,44.96,3.04,30.46,33.5,8.55,1.02,,79.85,5.77,2.55,,80.0
456314,2018-04-16 13:00:00,31.86,48.31,2.79,22.51,25.3,8.34,0.94,,91.47,5.46,1.35,,91.0
456315,2018-04-16 14:00:00,26.84,55.98,2.14,20.51,22.64,9.21,0.84,,97.53,6.0,1.66,,98.0
456316,2018-04-16 15:00:00,26.56,63.28,2.04,24.47,26.51,7.29,0.9,,103.09,5.28,0.96,,105.0
456317,2018-04-16 16:00:00,28.64,68.19,2.19,31.32,33.51,4.29,0.92,,99.57,4.28,0.34,,105.0
456318,2018-04-16 17:00:00,30.48,67.06,1.75,43.38,45.14,2.42,0.84,,91.52,5.03,0.82,,105.0
456319,2018-04-16 18:00:00,35.32,68.2,2.49,46.58,49.05,0.62,1.13,,70.16,4.35,0.38,,105.0
456320,2018-04-16 19:00:00,35.08,69.05,2.4,44.75,47.16,0.22,1.12,,51.02,4.61,0.14,,105.0
456321,2018-04-16 20:00:00,29.13,61.32,2.64,43.18,45.82,0.2,1.3,,39.12,5.32,0.51,,105.0
456322,2018-04-16 21:00:00,28.56,59.61,3.44,47.44,50.88,,1.26,,28.12,5.82,0.81,,105.0
456323,2018-04-16 22:00:00,33.38,64.23,3.73,31.3,35.03,0.33,1.28,,19.72,6.17,1.01,,105.0
456324,2018-04-16 23:00:00,35.56,56.73,3.74,27.12,30.86,0.27,1.24,,17.19,6.25,1.18,,100.0
456325,2018-04-17 00:00:00,31.4,44.27,2.57,17.79,20.36,1.75,1.16,,20.78,6.11,1.38,,92.0
456326,2018-04-17 01:00:00,23.9,40.73,2.71,19.27,21.98,1.23,1.14,,19.86,5.82,1.39,,70.0
456327,2018-04-17 02:00:00,20.09,35.29,2.04,13.21,15.25,2.4,1.13,,23.39,5.59,1.46,,65.0
456328,2018-04-17 03:00:00,18.1,36.76,1.91,10.38,12.29,2.68,1.13,,23.89,5.36,1.54,,65.0
456329,2018-04-17 04:00:00,19.86,39.87,1.91,11.05,12.96,2.45,1.14,,22.43,5.14,1.6,,64.0
456330,2018-04-17 05:00:00,25.24,40.93,2.52,14.49,17.0,1.87,1.16,,21.49,4.97,1.67,,64.0
456331,2018-04-17 06:00:00,25.48,39.59,2.53,19.6,22.13,0.89,1.19,,19.75,4.94,1.73,,62.0
456332,2018-04-17 07:00:00,25.36,36.4,3.36,20.08,23.44,0.78,1.25,,22.1,4.98,1.81,,62.0
456333,2018-04-17 08:00:00,22.27,36.19,3.89,19.68,23.56,0.65,1.28,,23.51,5.1,1.88,,64.0
456334,2018-04-17 09:00:00,22.2,38.88,4.28,21.11,25.39,0.41,1.12,,29.36,5.15,1.87,,64.0
456335,2018-04-17 10:00:00,24.22,43.66,3.93,26.98,30.91,0.13,1.18,,,5.33,2.03,,64.0
456336,2018-04-17 11:00:00,27.11,46.55,2.78,24.48,27.26,0.29,1.2,,,5.74,1.93,,64.0
456337,2018-04-17 12:00:00,31.63,49.41,3.0,22.7,25.7,0.43,1.11,,59.45,0.42,0.09,,64.0
456338,2018-04-17 13:00:00,,,3.01,23.62,26.63,1.23,1.09,,66.65,4.35,0.72,,67.0
456339,2018-04-17 14:00:00,,,2.62,21.67,24.29,3.86,0.91,,71.67,4.06,0.57,,72.0
456340,2018-04-17 15:00:00,,,2.44,25.75,28.19,4.34,0.87,,72.98,3.63,0.42,,73.0
456341,2018-04-17 16:00:00,,,2.42,25.75,28.16,3.92,0.86,,70.48,2.75,0.07,,73.0
456342,2018-04-17 17:00:00,,,2.34,37.99,40.33,4.11,1.19,,57.49,3.48,0.09,,73.0
456343,2018-04-17 18:00:00,,,2.34,53.49,55.82,3.69,1.23,,45.36,5.36,0.29,,73.0
456344,2018-04-17 19:00:00,,,3.06,57.72,60.78,3.34,1.24,,33.41,6.54,0.57,,73.0
456345,2018-04-17 20:00:00,,,3.98,38.59,42.57,3.85,1.24,,35.31,6.8,0.65,,73.0
456346,2018-04-17 21:00:00,,,2.29,42.62,44.91,3.55,0.79,,54.21,5.59,0.47,,
456347,2018-04-17 22:00:00,,,10.62,100.88,111.49,2.35,1.31,,15.85,5.08,0.48,,
456348,2018-04-17 23:00:00,,,74.41,121.47,195.88,0.67,1.8,,1.4,5.79,0.76,,
456349,2018-04-18 00:00:00,,,5.06,69.22,74.27,3.85,1.13,,29.51,6.62,1.12,,
456350,2018-04-18 01:00:00,,,1.9,38.72,40.6,29.63,0.88,,39.04,6.09,1.04,,
456351,2018-04-18 02:00:00,,,2.22,25.32,27.53,41.49,0.83,,41.5,6.02,1.15,,
456352,2018-04-18 03:00:00,,,1.81,18.65,20.46,33.02,0.85,,43.29,7.23,1.34,,
456353,2018-04-18 04:00:00,,,1.59,19.18,20.76,31.58,0.89,,40.79,7.03,1.37,,
456354,2018-04-18 05:00:00,,,1.53,18.11,19.64,26.46,0.97,,35.24,6.78,1.32,,
456355,2018-04-18 06:00:00,,,2.21,20.33,22.54,23.66,0.94,,36.05,6.84,1.44,,
456356,2018-04-18 07:00:00,,,2.72,27.68,30.41,27.45,0.91,,38.97,6.44,1.48,,
456357,2018-04-18 08:00:00,,,4.49,46.17,50.66,29.47,0.98,,32.28,6.13,1.59,,
456358,2018-04-18 09:00:00,,,3.89,35.85,39.73,24.39,0.97,,39.39,5.81,1.59,,
456359,2018-04-18 10:00:00,,,4.43,34.42,38.85,21.09,1.07,,35.02,4.96,1.2,,
456360,2018-04-18 11:00:00,,,5.32,33.4,38.71,16.37,1.17,,37.22,4.73,0.82,,
456361,2018-04-18 12:00:00,,,3.79,21.65,25.44,12.7,1.17,,43.88,5.12,0.59,,
456362,2018-04-18 13:00:00,,,3.44,21.1,24.55,14.58,1.17,,44.11,4.22,0.14,,
456363,2018-04-18 14:00:00,,,2.85,20.6,23.44,9.4,1.12,,44.91,3.95,0.05,,
456364,2018-04-18 15:00:00,,,4.03,28.22,32.26,11.29,1.13,,32.2,2.68,0.04,,
456365,2018-04-18 16:00:00,,,4.34,27.55,31.88,51.34,1.13,,32.51,3.23,0.05,,
456366,2018-04-18 17:00:00,,,3.73,27.35,31.07,47.3,1.15,,28.47,3.0,0.06,,
456367,2018-04-18 18:00:00,,,3.58,35.5,39.08,34.74,1.21,,20.38,3.36,0.03,,
456368,2018-04-18 19:00:00,,,5.32,44.73,50.05,28.62,1.29,,15.9,3.38,0.21,,
456369,2018-04-18 20:00:00,,,6.75,40.9,47.65,24.6,1.36,,12.38,4.5,0.02,,
456370,2018-04-18 21:00:00,,,6.61,36.32,42.93,18.46,1.33,,11.19,4.86,0.21,,
456371,2018-04-18 22:00:00,,,3.56,31.36,34.92,18.31,1.31,,13.3,5.28,0.44,,
456372,2018-04-18 23:00:00,,,4.63,32.21,36.84,16.88,1.29,,11.69,5.51,0.64,,
456373,2018-04-19 00:00:00,,,4.87,38.59,43.46,15.0,1.29,,9.0,5.64,0.87,,
456374,2018-04-19 01:00:00,,,3.72,36.55,40.27,15.13,1.23,,9.09,5.63,1.07,,
456375,2018-04-19 02:00:00,,,4.44,60.32,64.75,13.88,1.15,,11.45,5.73,1.23,,
456376,2018-04-19 03:00:00,,,1.59,29.38,30.96,15.19,1.02,,28.95,5.6,1.33,,
456377,2018-04-19 04:00:00,,,1.74,23.47,25.21,13.77,1.08,,26.55,5.4,1.47,,
456378,2018-04-19 05:00:00,,,2.45,24.49,26.93,16.13,0.94,,21.33,5.22,1.38,,
456379,2018-04-19 06:00:00,,,3.2,27.92,31.13,16.1,1.04,,17.11,5.05,1.45,,
456380,2018-04-19 07:00:00,,,4.54,34.15,38.68,17.57,1.08,,16.82,5.17,1.7,,
456381,2018-04-19 08:00:00,,,6.68,30.77,37.45,16.72,1.14,,17.46,5.39,1.8,,
456382,2018-04-19 09:00:00,,,5.16,19.08,24.23,16.53,1.07,,20.01,5.6,1.82,,
456383,2018-04-19 10:00:00,,,5.33,20.27,25.6,16.65,1.14,,27.82,5.4,1.82,,
456384,2018-04-19 11:00:00,,,4.44,28.61,33.04,16.13,1.23,,39.42,5.34,1.73,,
456385,2018-04-19 12:00:00,,,3.34,25.27,28.6,16.54,1.2,,48.46,5.8,1.96,,
456386,2018-04-19 13:00:00,,,2.83,23.36,26.2,15.34,1.21,,58.6,6.07,1.49,,
456387,2018-04-19 14:00:00,,,2.85,28.45,31.3,17.65,1.25,,63.62,5.47,0.7,,
456388,2018-04-19 15:00:00,,,2.32,26.84,29.16,15.55,1.27,,61.38,5.79,0.69,,
456389,2018-04-19 16:00:00,,,2.51,23.83,26.32,14.38,1.22,,45.16,5.77,0.45,,
456390,2018-04-19 17:00:00,,,3.11,22.9,26.02,14.29,1.21,,30.27,5.38,0.47,,
456391,2018-04-19 18:00:00,,,4.01,24.05,28.05,14.91,1.23,,23.38,5.18,0.58,,
456392,2018-04-19 19:00:00,,,4.55,29.86,34.4,14.48,1.29,,16.63,5.5,0.53,,
456393,2018-04-19 20:00:00,,,8.27,34.81,43.08,13.98,1.33,,12.06,5.85,0.58,,
456394,2018-04-19 21:00:00,,,5.72,30.58,36.3,14.6,1.11,,13.54,5.62,0.55,,
456395,2018-04-19 22:00:00,,,6.11,31.7,37.8,13.18,1.23,,10.6,5.54,0.58,,
456396,2018-04-19 23:00:00,,,4.86,31.41,36.27,13.8,1.16,,11.41,5.38,0.64,,
456397,2018-04-20 00:00:00,,,2.8,24.77,27.58,12.56,1.15,,17.66,5.41,0.68,,
456398,2018-04-20 01:00:00,,,2.36,24.45,26.81,13.37,1.1,,27.0,5.05,0.7,,
456399,2018-04-20 02:00:00,,,1.78,18.51,20.29,12.09,1.16,,34.65,4.72,0.7,,
456400,2018-04-20 03:00:00,,,2.19,15.7,17.9,12.89,1.11,,33.37,4.69,0.79,,
456401,2018-04-20 04:00:00,,,2.34,17.59,19.93,12.3,1.15,,28.89,4.59,0.83,,
456402,2018-04-20 05:00:00,,,2.49,25.95,28.45,11.96,1.14,,20.51,4.74,1.31,,
456403,2018-04-20 06:00:00,,,3.84,32.14,35.98,11.66,1.19,,16.2,4.74,1.13,,
456404,2018-04-20 07:00:00,,,3.62,22.29,25.9,11.36,1.18,,18.74,4.75,1.32,,
456405,2018-04-20 08:00:00,,,5.92,29.1,35.03,12.12,1.2,,20.96,4.57,0.93,,
456406,2018-04-20 09:00:00,,,4.94,27.3,32.25,11.3,1.11,,30.13,4.65,0.79,,
456407,2018-04-20 10:00:00,,,4.74,27.95,32.69,12.63,1.11,,37.15,4.64,0.77,,
456408,2018-04-20 11:00:00,,,4.18,25.51,29.69,11.65,1.15,,40.13,4.82,0.93,,
